# Frequenz[kHz] Spannung U²_a[mV]	Spannung U²_a,min[mV]	Spannung U²_a,max[mV]	V_N,Gain
100	636	635	637	5
70	430	430	430	5
50	320	319	321	5
20	143	142	143	5
15	113	111	114	5
10	312	308	314	10
7	240	237	241	10
5	187	183	189	10
3	135	134	137	10
1.5	99	98	101	10
1	260	254	269	20
0.7	267	254	264	20
0.5	274	272	279	20
0.2	306	301	309	20
0.15	282	281	283	20
0.1	345	336	350	20
0.07	324	322	326	20
0.05	292	284	300	20
0.02	305	299	310	20
0.015	355	349	363	20
0.01	290	280	310	20
