#x-axis,1,2
#second,Volt,Volt
-500.00000E-06,+38.72862831E-03,+62.81409645E-03
-499.95000E-06,+38.72862831E-03,+17.58796629E-03
-499.90000E-06,+38.72862831E-03,+22.61309186E-03
-499.85000E-06,+38.72862831E-03,+87.93972433E-03
-499.80000E-06,+33.20099018E-03,+37.68846858E-03
-499.75000E-06,+30.68842739E-03,+7.53771514E-03
-499.70000E-06,+45.26129155E-03,+7.53771514E-03
-499.65000E-06,+41.74370365E-03,+7.53771514E-03
-499.60000E-06,+46.76882923E-03,+7.53771514E-03
-499.55000E-06,+53.80400503E-03,+7.53771514E-03
-499.50000E-06,+47.77385434E-03,-2.51253601E-03
-499.45000E-06,+54.80903015E-03,-37.68841503E-03
-499.40000E-06,+49.28139201E-03,-42.71354061E-03
-499.35000E-06,+53.80400503E-03,-72.86429405E-03
-499.30000E-06,+54.80903015E-03,-2.51253601E-03
-499.25000E-06,+54.80903015E-03,-72.86429405E-03
-499.20000E-06,+54.80903015E-03,-72.86429405E-03
-499.15000E-06,+54.80903015E-03,-72.86429405E-03
-499.10000E-06,+55.81405526E-03,-163.31655439E-03
-499.05000E-06,+62.84923106E-03,-198.49243341E-03
-499.00000E-06,+57.32159293E-03,-153.26630324E-03
-498.95000E-06,+61.84420595E-03,-77.88941963E-03
-498.90000E-06,+62.84923106E-03,-218.59293571E-03
-498.85000E-06,+59.33164316E-03,-153.26630324E-03
-498.80000E-06,+59.83415572E-03,-153.26630324E-03
-498.75000E-06,+62.84923106E-03,-223.61806128E-03
-498.70000E-06,+62.84923106E-03,-233.66831243E-03
-498.65000E-06,+65.86430641E-03,-233.66831243E-03
-498.60000E-06,+70.88943198E-03,-233.66831243E-03
-498.55000E-06,+70.88943198E-03,-233.66831243E-03
-498.50000E-06,+64.85928129E-03,-218.59293571E-03
-498.45000E-06,+75.41204500E-03,-213.56781013E-03
-498.40000E-06,+70.88943198E-03,-314.07032162E-03
-498.35000E-06,+84.95978359E-03,-314.07032162E-03
-498.30000E-06,+71.89445710E-03,-243.71856358E-03
-498.25000E-06,+78.92963290E-03,-314.07032162E-03
-498.20000E-06,+78.92963290E-03,-314.07032162E-03
