#x-axis,1,2
#second,Volt,Volt
-50.000000E-06,-162.276394665E-03,-555.433402769E-03
-49.995000E-06,-167.804032797E-03,-545.383151621E-03
-49.990000E-06,-177.854283946E-03,-545.383151621E-03
-49.985000E-06,-169.311570469E-03,-560.458528344E-03
-49.980000E-06,-168.809057912E-03,-554.177121376E-03
-49.975000E-06,-173.331670929E-03,-550.408277195E-03
-49.970000E-06,-170.316595584E-03,-545.383151621E-03
-49.965000E-06,-178.356796503E-03,-545.383151621E-03
-49.960000E-06,-175.341721158E-03,-545.383151621E-03
-49.955000E-06,-175.844233716E-03,-545.383151621E-03
-49.950000E-06,-171.321620699E-03,-545.383151621E-03
-49.945000E-06,-171.824133256E-03,-520.257523749E-03
-49.940000E-06,-175.341721158E-03,-513.976116781E-03
-49.935000E-06,-175.844233716E-03,-525.282649323E-03
-49.930000E-06,-171.321620699E-03,-525.282649323E-03
-49.925000E-06,-177.351771388E-03,-508.950991207E-03
-49.920000E-06,-173.834183486E-03,-515.232398175E-03
-49.915000E-06,-183.884434635E-03,-519.001242355E-03
-49.910000E-06,-179.361821618E-03,-525.282649323E-03
-49.905000E-06,-171.824133256E-03,-508.950991207E-03
-49.900000E-06,-178.356796503E-03,-515.232398175E-03
-49.895000E-06,-183.884434635E-03,-505.182147026E-03
-49.890000E-06,-179.361821618E-03,-505.182147026E-03
-49.885000E-06,-178.356796503E-03,-505.182147026E-03
-49.880000E-06,-181.874384405E-03,-505.182147026E-03
-49.875000E-06,-186.396997422E-03,-490.106770303E-03
-49.870000E-06,-179.361821618E-03,-485.081644729E-03
-49.865000E-06,-179.864334175E-03,-485.081644729E-03
-49.860000E-06,-186.396997422E-03,-485.081644729E-03
-49.855000E-06,-191.924635554E-03,-485.081644729E-03
-49.850000E-06,-187.402022537E-03,-485.081644729E-03
-49.845000E-06,-185.391972307E-03,-485.081644729E-03
-49.840000E-06,-181.874384405E-03,-485.081644729E-03
-49.835000E-06,-186.396997422E-03,-470.006268006E-03
-49.830000E-06,-193.934685783E-03,-483.825363335E-03
-49.825000E-06,-193.432173226E-03,-476.287674974E-03
-49.820000E-06,-186.396997422E-03,-453.674609889E-03
