#x-axis,1,2
#second,Volt,Volt
#+543.20000E-03,,
+546.17500E-03,-940.70351E-03,+402.01005E-03
+546.20000E-03,-1.00502511E+00,+400.75376E-03
+546.22500E-03,-1.02110552E+00,+391.95979E-03
+546.25000E-03,-1.02110552E+00,+400.75376E-03
+546.27500E-03,-1.02110552E+00,+381.90954E-03
+546.30000E-03,-1.02110552E+00,+400.75376E-03
+546.32500E-03,-1.02110552E+00,+402.01005E-03
+546.35000E-03,-1.02110552E+00,+402.01005E-03
+546.37500E-03,-1.02110552E+00,+402.01005E-03
+546.40000E-03,-1.02060300E+00,+402.01005E-03
+546.42500E-03,-968.84421E-03,+403.26633E-03
+546.45000E-03,-899.99999E-03,+381.90954E-03
+546.47500E-03,-819.09547E-03,+402.01005E-03
+546.50000E-03,-739.19597E-03,+402.01005E-03
+546.52500E-03,-642.21105E-03,+402.01005E-03
+546.55000E-03,-538.19095E-03,+402.01005E-03
+546.57500E-03,-433.16582E-03,+381.90954E-03
+546.60000E-03,-320.60301E-03,+402.01005E-03
+546.62500E-03,-196.48241E-03,+381.90954E-03
+546.65000E-03,-79.39698E-03,+402.01005E-03
+546.67500E-03,+36.18090E-03,+390.70351E-03
+546.70000E-03,+160.80402E-03,+402.01005E-03
+546.72500E-03,+281.90954E-03,+402.01005E-03
+546.75000E-03,+377.88944E-03,+381.90954E-03
+546.77500E-03,+478.39195E-03,+402.01005E-03
+546.80000E-03,+578.89447E-03,+400.75376E-03
+546.82500E-03,+663.31658E-03,+390.70351E-03
+546.85000E-03,+739.69848E-03,+420.85427E-03
+546.87500E-03,+808.04019E-03,+412.06030E-03
+546.90000E-03,+852.26130E-03,+402.01005E-03
+546.92500E-03,+904.52260E-03,+402.01005E-03
+546.95000E-03,+932.66331E-03,+402.01005E-03
+546.97500E-03,+948.74371E-03,+391.95979E-03
+547.00000E-03,+964.82411E-03,+400.75376E-03
+547.02500E-03,+956.78391E-03,+390.70351E-03
+547.05000E-03,+940.20099E-03,+402.01005E-03
+547.07500E-03,+916.58290E-03,+402.01005E-03
+547.10000E-03,+876.38190E-03,+402.01005E-03
+547.12500E-03,+823.61808E-03,+390.70351E-03
+547.15000E-03,+770.85426E-03,+402.01005E-03
+547.17500E-03,+703.01507E-03,+410.80402E-03
+547.20000E-03,+626.63316E-03,+402.01005E-03
+547.22500E-03,+542.21105E-03,+402.01005E-03
+547.25000E-03,+450.25125E-03,+400.75376E-03
+547.27500E-03,+349.24623E-03,+390.70351E-03
+547.30000E-03,+256.78392E-03,+402.01005E-03
+547.32500E-03,+156.28141E-03,+390.70351E-03
+547.35000E-03,+63.31658E-03,+402.01005E-03
+547.37500E-03,-44.22111E-03,+402.01005E-03
+547.40000E-03,-136.68342E-03,+402.01005E-03
+547.42500E-03,-241.20603E-03,+381.90954E-03
+547.45000E-03,-337.68844E-03,+400.75376E-03
+547.47500E-03,-426.13065E-03,+391.95979E-03
+547.50000E-03,-514.57286E-03,+400.75376E-03
+547.52500E-03,-582.91457E-03,+391.95979E-03
+547.55000E-03,-643.21607E-03,+402.01005E-03
+547.57500E-03,-707.53768E-03,+391.95979E-03
