#x-axis,1,2
#second,Volt,Volt
-100.00000E-06,-122.07539007E-03,-394.47233081E-03
-99.99000E-06,-122.07539007E-03,-429.64820983E-03
-99.98000E-06,-122.07539007E-03,-414.57283311E-03
-99.97000E-06,-130.11559099E-03,-394.47233081E-03
-99.96000E-06,-128.60805332E-03,-394.47233081E-03
-99.95000E-06,-122.07539007E-03,-429.64820983E-03
-99.94000E-06,-122.07539007E-03,-414.57283311E-03
-99.93000E-06,-137.65327935E-03,-394.47233081E-03
-99.92000E-06,-122.07539007E-03,-329.14569834E-03
-99.91000E-06,-126.09549053E-03,-394.47233081E-03
-99.90000E-06,-124.58795286E-03,-394.47233081E-03
-99.89000E-06,-130.11559099E-03,-314.07032162E-03
-99.88000E-06,-130.11559099E-03,-374.37182851E-03
-99.87000E-06,-130.11559099E-03,-349.24620064E-03
-99.86000E-06,-124.58795286E-03,-334.17082392E-03
-99.85000E-06,-122.07539007E-03,-314.07032162E-03
-99.84000E-06,-130.11559099E-03,-314.07032162E-03
-99.83000E-06,-134.13569145E-03,-349.24620064E-03
-99.82000E-06,-138.15579191E-03,-394.47233081E-03
-99.81000E-06,-138.15579191E-03,-394.47233081E-03
-99.80000E-06,-138.15579191E-03,-329.14569834E-03
-99.79000E-06,-138.15579191E-03,-354.27132621E-03
-99.78000E-06,-138.15579191E-03,-314.07032162E-03
-99.77000E-06,-130.61810355E-03,-314.07032162E-03
-99.76000E-06,-140.16584214E-03,-248.74368915E-03
-99.75000E-06,-139.16081702E-03,-273.86931702E-03
-99.74000E-06,-141.67337981E-03,-288.94469375E-03
-99.73000E-06,-138.65830447E-03,-233.66831243E-03
-99.72000E-06,-138.15579191E-03,-248.74368915E-03
-99.71000E-06,-138.15579191E-03,-314.07032162E-03
-99.70000E-06,-138.15579191E-03,-314.07032162E-03
-99.69000E-06,-146.19599283E-03,-314.07032162E-03
-99.68000E-06,-144.68845516E-03,-233.66831243E-03
-99.67000E-06,-138.15579191E-03,-268.84419145E-03
-99.66000E-06,-138.15579191E-03,-314.07032162E-03
-99.65000E-06,-153.73368119E-03,-314.07032162E-03
-99.64000E-06,-146.19599283E-03,-314.07032162E-03
-99.63000E-06,-146.19599283E-03,-273.86931702E-03
-99.62000E-06,-146.19599283E-03,-233.66831243E-03
-99.61000E-06,-154.23619375E-03,-233.66831243E-03
-99.60000E-06,-146.19599283E-03,-233.66831243E-03
-99.59000E-06,-146.19599283E-03,-233.66831243E-03
-99.58000E-06,-146.19599283E-03,-233.66831243E-03
