x-axis,1,2
second,Volt,Volt
-250.00000E-06,+18.95728707E-03,-75.65929531E-03
-249.97500E-06,+18.95728707E-03,-73.14673252E-03
-249.95000E-06,+20.21356847E-03,-76.41306415E-03
-249.92500E-06,+18.95728707E-03,-73.39798880E-03
-249.90000E-06,+19.15829210E-03,-77.16683298E-03
-249.87500E-06,+19.76130717E-03,-77.16683298E-03
-249.85000E-06,+19.10804084E-03,-80.43316461E-03
-249.82500E-06,+19.71105591E-03,-77.16683298E-03
-249.80000E-06,+19.15829210E-03,-75.65929531E-03
-249.77500E-06,+20.16331721E-03,-75.40803903E-03
-249.75000E-06,+19.91206093E-03,-80.43316461E-03
-249.72500E-06,+18.95728707E-03,-77.41808926E-03
-249.70000E-06,+19.15829210E-03,-81.18693344E-03
-249.67500E-06,+19.76130717E-03,-78.67437066E-03
-249.65000E-06,+19.76130717E-03,-80.43316461E-03
-249.62500E-06,+20.51507600E-03,-77.41808926E-03
-249.60000E-06,+19.76130717E-03,-81.18693344E-03
-249.57500E-06,+20.16331721E-03,-81.18693344E-03
-249.55000E-06,+19.91206093E-03,-81.18693344E-03
-249.52500E-06,+19.71105591E-03,-81.18693344E-03
-249.50000E-06,+19.15829210E-03,-81.18693344E-03
-249.47500E-06,+20.16331721E-03,-78.67437066E-03
-249.45000E-06,+19.25879461E-03,-80.43316461E-03
-249.42500E-06,+19.76130717E-03,-81.18693344E-03
-249.40000E-06,+20.31407098E-03,-81.18693344E-03
-249.37500E-06,+19.76130717E-03,-81.18693344E-03
-249.35000E-06,+20.36432223E-03,-81.18693344E-03
-249.32500E-06,+20.56532726E-03,-77.41808926E-03
-249.30000E-06,+20.56532726E-03,-81.18693344E-03
-249.27500E-06,+20.56532726E-03,-83.44823995E-03
-249.25000E-06,+21.16834233E-03,-81.68944600E-03
-249.22500E-06,+20.56532726E-03,-81.43818972E-03
-249.20000E-06,+20.31407098E-03,-83.69949623E-03
-249.17500E-06,+19.76130717E-03,-81.18693344E-03
-249.15000E-06,+19.76130717E-03,-84.45326507E-03
-249.12500E-06,+20.51507600E-03,-84.70452134E-03
-249.10000E-06,+19.96231219E-03,-82.44321484E-03
-249.07500E-06,+20.11306596E-03,-85.20703390E-03
-249.05000E-06,+19.76130717E-03,-85.20703390E-03
-249.02500E-06,+20.56532726E-03,-81.43818972E-03
-249.00000E-06,+20.56532726E-03,-83.69949623E-03
-248.97500E-06,+20.56532726E-03,-83.44823995E-03
-248.95000E-06,+19.91206093E-03,-85.20703390E-03
-248.92500E-06,+19.76130717E-03,-81.43818972E-03
